"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"BOOT_SEL1";"SW_Push_1P1T_NO_CK_KMR2";1;"SW_Push";;;
2;"C1, C4, C17";"generic_capc2012x125";3;"10u";;;
3;"C2, C3";"generic_capc1005x50";2;"15p";;;
4;"C5, C6, C7, C9, C11, C12, C13, C14, C15, C16";"generic_capc1005x50";10;"100n";;;
5;"C8, C10";"generic_capc1005x50";2;"1u";;;
6;"ESTOP1";"SW_Tactile_SPST_Angled_PTS645Vx31-2LFS";1;"SW_Push";;;
7;"J3";"PinHeader_1x04_P2.54mm_Horizontal";1;"Conn_01x04_Pin";;;
8;"J4";"PinSocket_1x04_P2.54mm_Vertical";1;"Conn_01x04_Socket";;;
9;"P1";"USB_C_Plug_ShenzhenJingTuoJin_918-118A2021Y40002_Vertical";1;"USB_C_Plug_USB2.0";;;
10;"R1, R5";"generic_resc1005x35";2;"1k";;;
11;"R2";"generic_resc1005x35";1;"10k";;;
12;"R3, R4";"generic_resc1005x35";2;"27";;;
13;"U1";"onsemi_ncp1117st33t3g";1;"NCP1117ST33T3G";;;
14;"U2";"generic_soic127p790x195-8";1;"W25Q128JVSIQ";;;
15;"U3";"rpi_rp2040_vias";1;"RP2040";;;
16;"X1";"generic_xtalcc320x250x80-4";1;"12MHz";;;
