Comment,Designator,Footprint,LCSC,Quantity
100n,"C11,C12,C13,C14,C15,C16,C5,C6,C7,C9",generic_capc1005x50,C77014,10
10u,"C1,C17,C4",generic_capc2012x125,C77075,3
12MHz,X1,generic_xtalcc320x250x80-4,C20625731,1
15p,"C2,C3",generic_capc1005x50,C76950,2
1k,"R1,R5",generic_resc1005x35,C106235,2
1u,"C10,C8",generic_capc1005x50,C77006,2
27,"R3,R4",generic_resc1005x35,C138021,2
Conn_01x04_Pin,J3,PinHeader_1x04_P2.54mm_Horizontal,C91552,1
NCP1117ST33T3G,U1,onsemi_ncp1117st33t3g,C26537,1
RP2040,U3,rpi_rp2040_vias,C2040,1
SW_Push,BOOT_SEL1,SW_Push_1P1T_NO_CK_KMR2,C10852,1
SW_Push,ESTOP1,SW_Tactile_SPST_Angled_PTS645Vx31-2LFS,C6575010,1
USB_C_Plug_USB2.0,P1,USB_C_Plug_ShenzhenJingTuoJin_918-118A2021Y40002_Vertical,C55200592,1
W25Q128JVSIQ,U2,generic_soic127p790x195-8,C97521,1
