Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BOOT_SEL1,SW_Push,SW_Push_1P1T_NO_CK_KMR2,-8.485,20.99,-90.0,top
C1,10u,generic_capc2012x125,7.6025,23.155,0.0,top
C10,1u,generic_capc1005x50,3.665,6.14,90.0,top
C11,100n,generic_capc1005x50,-6.82,2.655,180.0,top
C12,100n,generic_capc1005x50,6.15,-1.545,0.0,top
C13,100n,generic_capc1005x50,-6.82,-1.545,180.0,top
C14,100n,generic_capc1005x50,1.675,-5.954,0.0,top
C15,100n,generic_capc1005x50,6.15,3.655,0.0,top
C16,100n,generic_capc1005x50,6.15,5.055,0.0,top
C17,10u,generic_capc2012x125,-13.72,21.62,0.0,top
C2,15p,generic_capc1005x50,-13.845,-1.865,90.0,top
C3,15p,generic_capc1005x50,-13.845,-4.465,-90.0,top
C4,10u,generic_capc2012x125,8.69,10.655,0.0,top
C5,100n,generic_capc1005x50,-4.15,16.825,180.0,top
C6,100n,generic_capc1005x50,-1.335,7.14,90.0,top
C7,100n,generic_capc1005x50,1.675,-4.835,0.0,top
C8,1u,generic_capc1005x50,2.665,6.14,90.0,top
C9,100n,generic_capc1005x50,-0.335,7.14,90.0,top
ESTOP1,SW_Push,SW_Tactile_SPST_Angled_PTS645Vx31-2LFS,-43.4425,7.3575,0.0,top
J3,Conn_01x04_Pin,PinHeader_1x04_P2.54mm_Horizontal,0.088384,24.911911,90.0,top
P1,USB_C_Plug_USB2.0,USB_C_Plug_ShenzhenJingTuoJin_918-118A2021Y40002_Vertical,-45.924631,31.24899,180.0,top
R1,1k,generic_resc1005x35,-9.335,17.34,90.0,top
R3,27,generic_resc1005x35,0.665,6.14,-90.0,top
R4,27,generic_resc1005x35,1.665,6.14,-90.0,top
R5,1k,generic_resc1005x35,-10.845,-2.465,0.0,top
U1,NCP1117ST33T3G,onsemi_ncp1117st33t3g,7.665,16.805,180.0,top
U2,W25Q128JVSIQ,generic_soic127p790x195-8,-7.285,12.38,0.0,top
U3,RP2040,rpi_rp2040_vias,-0.335,-0.345,0.0,top
X1,12MHz,generic_xtalcc320x250x80-4,-16.645,-3.165,-90.0,top
