Designator,Footprint,Quantity,Value,LCSC Part #
BOOT_SEL1,SW_Push_1P1T_NO_CK_KMR2,1,SW_Push,
"C1, C17, C4",generic_capc2012x125,3,10u,
"C10, C8",generic_capc1005x50,2,1u,
"C11, C12, C13, C14, C15, C16, C5, C6, C7, C9",generic_capc1005x50,10,100n,
"C2, C3",generic_capc1005x50,2,15p,
ESTOP1,SW_Tactile_SPST_Angled_PTS645Vx31-2LFS,1,SW_Push,
J1,PinHeader_1x03_P1.00mm_Vertical,1,Conn_01x03_Socket,
J3,PinHeader_1x04_P2.54mm_Horizontal,1,Conn_01x04_Pin,
J4,PinSocket_1x04_P2.54mm_Vertical,1,Conn_01x04_Socket,
P1,USB_C_Plug_ShenzhenJingTuoJin_918-118A2021Y40002_Vertical,1,USB_C_Plug_USB2.0,
"R1, R5",generic_resc1005x35,2,1k,
R2,generic_resc1005x35,1,10k,
"R3, R4",generic_resc1005x35,2,27,
"R6, R7",0402,2,100,C25076
U1,onsemi_ncp1117st33t3g,1,NCP1117ST33T3G,
U2,generic_soic127p790x195-8,1,W25Q128JVSIQ,
U3,rpi_rp2040_vias,1,RP2040,
X1,generic_xtalcc320x250x80-4,1,12MHz,
