Designator,Mid X,Mid Y,Rotation,Layer
BOOT_SEL1,-8.485,20.99,270.0,top
C1,7.6025,23.155,0.0,top
C10,3.665,6.14,90.0,top
C11,-6.82,2.655,180.0,top
C12,6.15,-1.545,0.0,top
C13,-6.82,-1.545,180.0,top
C14,-1.175,-6.046,180.0,top
C15,6.15,3.655,0.0,top
C16,6.15,5.055,0.0,top
C17,-13.72,21.62,0.0,top
C2,-13.845,-1.865,90.0,top
C3,-13.845,-4.465,270.0,top
C4,8.69,10.655,0.0,top
C5,-4.15,16.825,180.0,top
C6,-1.335,7.14,90.0,top
C7,1.673648,-6.037143,0.0,top
C8,2.665,6.14,90.0,top
C9,-0.335,7.14,90.0,top
ESTOP1,-43.4425,7.3575,0.0,top
J3,0.088384,24.911911,90.0,top
J4,-30.900509,31.4283,0.0,top
P1,-45.924631,31.24899,180.0,top
R1,-9.335,17.34,90.0,top
R3,0.665,6.14,270.0,top
R4,1.665,6.14,270.0,top
R5,-10.845,-2.465,0.0,top
R6,4.487791,-5.219113,0.0,top
R7,4.48,-4.22,0.0,top
U1,7.665,16.805,180.0,top
U2,-7.285,12.38,0.0,top
U3,-0.335,-0.345,0.0,top
X1,-16.645,-3.165,270.0,top
